Name;Used By;Type;Default;Minimum;Notes
Damping;G;double;0.99;0.0;neato only
K;GC;double;0.3;0;sfdp, fdp only
URL;ENGC;escString;<none>;;svg, postscript, map only
area;NC;double;1.0;>0;patchwork only
arrowhead;E;arrowType;normal;;all
arrowsize;E;double;1.0;0.0;all
arrowtail;E;arrowType;normal;;all
aspect;G;aspectType;;;dot only
bb;G;rect;;;write only
bgcolor;GC;color;<none>;;all
bgcolor;GC;colorList;;;all
center;G;bool;false;;all
charset;G;string;"UTF-8";;all
clusterrank;G;clusterMode;local;;dot only
color;ENC;color;black;;all
color;ENC;colorList;;;all
colorscheme;ENCG;string;"";;all
comment;ENG;string;"";;all
compound;G;bool;false;;dot only
concentrate;G;bool;false;;all
constraint;E;bool;true;;dot only
decorate;E;bool;false;;all
defaultdist;G;double;1+(avg. len)*sqrt(|V|);epsilon;neato only
dim;G;int;2;2;sfdp, fdp, neato only
dimen;G;int;2;2;sfdp, fdp, neato only
dir;E;dirType;forward(directed);;all
dir;E;dirType;none(undirected);;all
diredgeconstraints;G;string;false;;neato only
diredgeconstraints;G;bool;false;;neato only
distortion;N;double;0.0;-100.0;all
dpi;G;double;96.0;;svg, bitmap output only
edgeURL;E;escString;"";;svg, map only
edgehref;E;escString;"";;svg, map only
edgetarget;E;escString;<none>;;svg, map only
edgetooltip;E;escString;"";;svg, cmap only
epsilon;G;double;.0001 * # nodes(mode == KK);;neato only
epsilon;G;double;.0001(mode == major);;neato only
esep;G;addDouble;3;;not dot
esep;G;addPoint;3;;not dot
fillcolor;NEC;color;lightgrey(nodes);;all
fillcolor;NEC;colorList;black(clusters);;all
fixedsize;N;bool;false;;all
fontcolor;ENGC;color;black;;all
fontname;ENGC;string;"Times-Roman";;all
fontnames;G;string;"";;svg only
fontpath;G;string;system-dependent;;all
fontsize;ENGC;double;14.0;1.0;all
forcelabels;G;bool;true;;all
gradientangle;NCG;int;"";;all
group;N;string;"";;dot only
headURL;E;escString;"";;svg, map only
head_lp;E;point;;;write only
headclip;E;bool;true;;all
headhref;E;escString;"";;svg, map only
headlabel;E;lblString;"";;all
headport;E;portPos;center;;all
headtarget;E;escString;<none>;;svg, map only
headtooltip;E;escString;"";;svg, cmap only
height;N;double;0.5;0.02;all
href;GCNE;escString;"";;svg, postscript, map only
id;GNE;escString;"";;svg, postscript, map only
image;N;string;"";;all
imagepath;G;string;"";;all
imagescale;N;bool;false;;all
imagescale;;string;;;all
label;ENGC;lblString;"'N"" (nodes)";;all
label;ENGC;lblString;"" (otherwise)";;all
labelURL;E;escString;"";;svg, map only
label_scheme;G;int;0;0;sfdp only
labelangle;E;double;-25.0;-180.0;all
labeldistance;E;double;1.0;0.0;all
labelfloat;E;bool;false;;all
labelfontcolor;E;color;black;;all
labelfontname;E;string;"Times-Roman";;all
labelfontsize;E;double;14.0;1.0;all
labelhref;E;escString;"";;svg, map only
labeljust;GC;string;"c";;all
labelloc;NGC;string;"t""(clusters)";;all
labelloc;NGC;string;"b""(root graphs)";;all
labelloc;NGC;string;"c""(nodes)";;all
labeltarget;E;escString;<none>;;svg, map only
labeltooltip;E;escString;"";;svg, cmap only
landscape;G;bool;false;;all
layer;ENC;layerRange;"";;all
layerlistsep;G;string;",";;all
layers;G;layerList;"";;all
layerselect;G;layerRange;"";;all
layersep;G;string;" :'t";;all
layout;G;string;"";;all
len;E;double;1.0(neato);;fdp, neato only
len;;;0.3(fdp);;all
levels;G;int;MAXINT;0.0;sfdp only
levelsgap;G;double;0.0;;neato only
lhead;E;string;"";;dot only
lheight;GC;double;;;write only
lp;EGC;point;;;write only
ltail;E;string;"";;dot only
lwidth;GC;double;;;write only
margin;NCG;double;<device-dependent>;;all
margin;NCG;point;;;all
maxiter;G;int;100 * # nodes(mode == KK);;fdp, neato only
maxiter;G;int;200(mode == major);;fdp, neato only
maxiter;G;int;600(fdp);;fdp, neato only
mclimit;G;double;1.0;;dot only
